Fall 2009
A$$Fundamentals of Accounting$$3$$0$$0$$08/24/2009$$10/04/2009$$20$$Rowe, B.
F$$World Regional Geography$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Kennard,D.
G$$World Regional Geography$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Richey, P
A$$Early American History$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Reed, J
B$$Early American History$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Reed, J
A$$Recent American History$$3$$0$$0$$08/24/2009$$10/04/2009$$20$$Cross, T
C$$Recent American History$$3$$0$$0$$10/05/2009$$11/08/2009$$24$$Love, I
D$$Recent American History$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Solganick,
E$$Recent American History$$3$$0$$0$$11/09/2009$$12/20/2009$$18$$Hawkins, F
D$$Profiles in Leadership$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Reed, J
E$$Profiles in Leadership$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Hawkins, F
F$$Profiles in Leadership$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Reed, J
H$$Profiles in Leadership$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Reed, J
B$$Texas & American West$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Richey, P
C$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Richey, P
D$$Texas & American West$$3$$0$$0$$11/09/2009$$12/20/2009$$20$$Woodard, A
F$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$24$$Taylor, C.
G$$Texas & American West$$3$$0$$0$$11/09/2009$$12/20/2009$$15$$Solganick,
H$$Texas & American West$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Woodard, A
I$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$15$$Smith,C.J.
J$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$18$$Woodard, A
K$$Texas & American West$$3$$0$$0$$11/09/2009$$12/20/2009$$24$$Nelson, B.
L$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$10$$Quinn, Deb
M$$Texas & American West$$3$$0$$0$$11/09/2009$$12/20/2009$$10$$Quinn, Deb
N$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$24$$Taylor, C.
O$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Richey, P
P$$Texas & American West$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Reed, J
A$$Children's Fine Arts$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Latham, J
B$$Children's Fine Arts$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Latham, J
C$$Children's Fine Arts$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Davenpo,Me
D$$Children's Fine Arts$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Birdsong,R
E$$Children's Fine Arts$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Birdsong,R
C$$Human Culture and Society$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Connors,D
D$$Human Culture and Society$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Parker, N.
F$$Human Culture and Society$$3$$0$$0$$11/09/2009$$12/20/2009$$13$$Goodie, G.
A$$Applications of Technology$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Burson, J.
C$$Executive Wellness$$3$$0$$0$$10/05/2009$$11/08/2009$$22$$Jensen, D.
E$$Executive Wellness$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Baker, K
G$$Executive Wellness$$3$$0$$0$$11/09/2009$$12/20/2009$$20$$Baker, K
A$$Strategies for Adult Learning$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Perkins,K
B$$Strategies for Adult Learning$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Stewart, J
C$$Strategies for Adult Learning$$3$$0$$0$$08/24/2009$$10/04/2009$$20$$Perkins,K
D$$Strategies for Adult Learning$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Perkins,K
G$$Strategies for Adult Learning$$3$$0$$0$$08/24/2009$$10/04/2009$$15$$Vinson, B.
J$$Strategies for Adult Learning$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Elacqua,T
K$$Strategies for Adult Learning$$3$$0$$0$$10/05/2009$$11/08/2009$$1$$Dubose, C.
L$$Strategies for Adult Learning$$3$$0$$0$$11/09/2009$$12/20/2009$$24$$Yeakley, R
M$$Strategies for Adult Learning$$3$$0$$0$$11/09/2009$$12/20/2009$$24$$Jones, Mic
N$$Strategies for Adult Learning$$3$$0$$0$$11/09/2009$$12/20/2009$$20$$Stewart, J
E$$Business Math$$3$$0$$0$$10/05/2009$$11/08/2009$$18$$Jessen, R.
F$$Business Math$$3$$0$$0$$10/05/2009$$11/08/2009$$16$$Maness
G$$Business Math$$3$$0$$0$$11/09/2009$$12/20/2009$$16$$Thomas, V
B$$Elementary Statistics$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Johnson, D
C$$Elementary Statistics$$3$$0$$0$$10/05/2009$$11/08/2009$$15$$Ackley, R.
D$$Elementary Statistics$$3$$0$$0$$10/05/2009$$11/08/2009$$23$$Mabee, C
F$$Elementary Statistics$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Wall, D
G$$Elementary Statistics$$3$$0$$0$$11/09/2009$$12/20/2009$$18$$Ritchie,We
H$$Elementary Statistics$$3$$0$$0$$11/09/2009$$12/20/2009$$23$$Mabee, C
I$$Elementary Statistics$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$McWilliams
J$$Elementary Statistics$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$McWilliams
K$$Elementary Statistics$$3$$0$$0$$11/09/2009$$12/20/2009$$20$$McWilliams
B$$Math Modeling for Dec Making$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Mabee, C
C$$Math Modeling for Dec Making$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Mabee, C
E$$Math Modeling for Dec Making$$3$$0$$0$$11/09/2009$$12/20/2009$$15$$Jessen, R.
F$$Math Modeling for Dec Making$$3$$0$$0$$11/09/2009$$12/20/2009$$24$$Olsen, D.
G$$Math Modeling for Dec Making$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Wall, D
I$$Math Modeling for Dec Making$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Wall, D
J$$Math Modeling for Dec Making$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Wall, D
K$$Math Modeling for Dec Making$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Ritchie,We
M$$Math Modeling for Dec Making$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Wall, D
N$$Math Modeling for Dec Making$$3$$0$$0$$11/09/2009$$12/20/2009$$16$$Thomas, V
C$$Mathematical Concepts$$3$$0$$0$$10/05/2009$$11/08/2009$$23$$Moebes, T
D$$Mathematical Concepts$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Walsh, D.
B$$Math Practicum$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Denny, Joh
G$$Math Practicum$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Wall, D
A$$Self-Leadership Assess & Devl$$3$$0$$0$$10/12/2009$$11/01/2009$$25$$Waldo, R
B$$Self-Leadership Assess & Devl$$3$$0$$0$$10/12/2009$$11/01/2009$$20$$Wayhan, V
C$$Self-Leadership Assess & Devl$$3$$0$$0$$10/12/2009$$11/01/2009$$22$$Webb, R.
D$$Self-Leadership Assess & Devl$$3$$0$$0$$10/12/2009$$11/01/2009$$20$$Waldo, R
E$$Self-Leadership Assess & Devl$$3$$0$$0$$10/26/2009$$11/15/2009$$20$$Hammond, L
A$$Leadership & Ethics$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Tocci, Den
C$$Leadership & Ethics$$3$$0$$0$$08/24/2009$$10/11/2009$$22$$Ray, D.S.
D$$Leadership & Ethics$$3$$0$$0$$10/26/2009$$12/20/2009$$20$$Waldo, R
A$$Work-Life Balance$$3$$0$$0$$10/12/2009$$11/01/2009$$26$$Waldo, R
A$$Managerial Accounting$$3$$0$$0$$10/26/2009$$12/20/2009$$26$$Lemler,B
B$$Managerial Accounting$$3$$0$$0$$10/26/2009$$12/20/2009$$20$$Rowe, B.
A$$Managerial Economics$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Howard, Ke
B$$Managerial Economics$$3$$0$$0$$08/24/2009$$10/11/2009$$15$$Powers, K
A$$Quantitative Methods$$3$$0$$0$$10/26/2009$$12/20/2009$$24$$Feezell, J
B$$Quantitative Methods$$3$$0$$0$$10/26/2009$$12/20/2009$$16$$Baldwin,R
C$$Quantitative Methods$$3$$0$$0$$10/26/2009$$12/20/2009$$20$$Agee, Jame
E$$Quantitative Methods$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Corum, R
F$$Quantitative Methods$$3$$0$$0$$10/26/2009$$12/20/2009$$22$$Castro, J.
A$$Managerial Finance$$3$$0$$0$$10/26/2009$$12/20/2009$$25$$Driver, R
A$$Human Resource Management$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Spangenbur
B$$Human Resource Management$$3$$0$$0$$10/26/2009$$12/20/2009$$25$$Driver, R
C$$Human Resource Management$$3$$0$$0$$10/26/2009$$12/20/2009$$15$$Baldwin,R
D$$Human Resource Management$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Driver, R
A$$Quality & Operations Mgmt$$3$$0$$0$$08/24/2009$$10/11/2009$$24$$Feezell, J
B$$Quality & Operations Mgmt$$3$$0$$0$$08/24/2009$$10/11/2009$$24$$McWilliams
C$$Quality & Operations Mgmt$$3$$0$$0$$08/24/2009$$10/11/2009$$15$$Tew, E. J.
D$$Quality & Operations Mgmt$$3$$0$$0$$08/24/2009$$10/11/2009$$24$$Matthews,W
E$$Quality & Operations Mgmt$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$McWilliams
A$$Marketing Management$$3$$0$$0$$08/24/2009$$10/11/2009$$24$$Fairweathe
B$$Marketing Management$$3$$0$$0$$10/26/2009$$12/20/2009$$25$$Howard, Ke
C$$Marketing Management$$3$$0$$0$$08/24/2009$$10/11/2009$$16$$Strong, D.
A$$Strategic Management$$3$$0$$0$$10/26/2009$$12/20/2009$$24$$Ray, D.S.
B$$Strategic Management$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Ray, D.S.
C$$Strategic Management$$3$$0$$0$$10/26/2009$$12/20/2009$$25$$Hammond, L
D$$Strategic Management$$3$$0$$0$$10/26/2009$$12/20/2009$$15$$Carlson, F
E$$Strategic Management$$3$$0$$0$$10/26/2009$$12/20/2009$$24$$Wayhan, V
G$$Strategic Management$$3$$0$$0$$10/26/2009$$12/20/2009$$20$$Balog, K
A$$Intnl Travel Experience$$3$$0$$0$$10/12/2009$$10/26/2009$$15$$Hammond, L
A$$Conflict Resolution$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Fontenot,L
A$$E-Commerce Marketing Mgmt$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Balog, K
B$$International Finance$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Castro, J.
A$$Financial Risk Mgmt$$3$$0$$0$$10/26/2009$$12/13/2009$$25$$Lemler,B
A$$ST:Religion in Public Education$$3$$0$$0$$10/12/2009$$11/01/2009$$20$$Baggett, D
B$$ST:Religion in Public Education$$3$$0$$0$$10/26/2009$$11/15/2009$$20$$Baggett, D
A$$ST: Administration of TAKS$$3$$0$$0$$10/12/2009$$11/01/2009$$25$$Woods, Que
B$$ST: Administration of TAKS$$3$$0$$0$$10/12/2009$$11/01/2009$$25$$Baggett, D
A$$Comm & Collaboration$$3$$0$$0$$10/26/2009$$12/20/2009$$20$$Woods, Que
A$$Edu Research for Effect Teaching$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$ThompsonJR
B$$Edu Research for Effect Teaching$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Stricklan
A$$Psych Frameworks for Educators$$3$$0$$0$$08/24/2009$$10/11/2009$$20$$Watwood,M
A$$Public School Law$$3$$0$$0$$10/26/2009$$12/20/2009$$25$$Watwood,M
B$$Public School Law$$3$$0$$0$$10/26/2009$$12/20/2009$$25$$Baggett, D
A$$Theory & Practice Classroom Mgt$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Baggett, D
A$$Children, Adolescents & Learning$$3$$0$$0$$10/26/2009$$12/20/2009$$25$$Burson, J.
A$$Theory & Prac Classroom Mgt 8-12$$3$$0$$0$$08/24/2009$$10/11/2009$$25$$Watwood,M
A$$School Finance$$3$$0$$0$$08/24/2009$$10/11/2009$$20$$Brown, All
B$$School Finance$$3$$0$$0$$10/26/2009$$12/20/2009$$20$$ThompsonJR
A$$Physical Science$$3$$0$$0$$08/24/2009$$10/04/2009$$23$$Gentsch, M
B$$Physical Science$$3$$0$$0$$10/05/2009$$11/08/2009$$18$$Flakes, L
C$$Physical Science$$3$$0$$0$$10/05/2009$$11/08/2009$$23$$Flakes, L
D$$Physical Science$$3$$0$$0$$10/05/2009$$11/08/2009$$24$$Ogunjimi
E$$Physical Science$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Flakes, L
F$$Physical Science$$3$$0$$0$$11/09/2009$$12/20/2009$$24$$Gentsch, M
A$$American Political Foundation$$3$$0$$0$$08/24/2009$$10/04/2009$$20$$Nelson, B.
B$$American Political Foundation$$3$$0$$0$$10/05/2009$$11/08/2009$$24$$Valague, D
A$$Intro to Psychology$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$MorrisLehm
B$$Intro to Psychology$$3$$0$$0$$11/09/2009$$12/20/2009$$24$$Zeigler, J
A$$Professions in Psychology$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Coleman, J
A$$Human Growth & Development$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Modisette
E$$Human Growth & Development$$3$$0$$0$$08/24/2009$$10/04/2009$$24$$Harlan, P
A$$Marriage & the Family$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Russell, D
B$$Marriage & the Family$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Andrews, T
C$$Marriage & the Family$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Russell, D
D$$Marriage & the Family$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Baker, Do.
A$$Theories & Tech of Counseling$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Andrews, T
B$$Theories & Tech of Counseling$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Coleman, J
A$$Personality Theory$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Modisette
B$$Personality Theory$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Coleman, J
E$$Personality Theory$$3$$0$$0$$10/05/2009$$11/08/2009$$24$$Harlan, P
A$$Learning and Cognition$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Russell, D
A$$Social Psychology$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Harlan, P
A$$Abnormal Psychology$$3$$0$$0$$08/24/2009$$10/04/2009$$25$$Modisette
A$$Tests & Measurements$$3$$0$$0$$10/05/2009$$11/08/2009$$25$$Harlan, P
A$$Physiological Psychology$$3$$0$$0$$11/09/2009$$12/20/2009$$25$$Agee, Jame
A$$Intro to Lang & Literacy$$3$$0$$0$$09/07/2009$$10/04/2009$$1$$Hendrix, E
B$$Intro to Lang & Literacy$$3$$0$$0$$10/12/2009$$11/08/2009$$1$$Hendrix, E
C$$Teaching of Reading$$3$$0$$0$$08/24/2009$$10/04/2009$$21$$Elkins, L.
E$$Teaching of Reading$$3$$0$$0$$11/09/2009$$12/20/2009$$24$$Hendrix, E
G$$Teaching of Reading$$3$$0$$0$$11/09/2009$$12/20/2009$$22$$Hardage, R
H$$Teaching of Reading$$3$$0$$0$$11/09/2009$$12/20/2009$$20$$Holt, B.
B$$Lit for Children & Adolescents$$3$$0$$0$$11/09/2009$$12/20/2009$$20$$Dean, K.
A$$Remediation of Rdg Difficulties$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Hendrix, E
B$$Reading in the Content Area$$3$$0$$0$$10/05/2009$$11/08/2009$$22$$Tuck, A
C$$Reading in the Content Area$$3$$0$$0$$10/05/2009$$11/08/2009$$20$$Dean, K.
